"","X","Site","origin_date","time","date","daily_Ta","daily_Fsd","daily_Fld","daily_GPP","dateD","DOY","year","month","day","DAS","GDD","Rh","PAR","fPAR","moisture_stress","esat","eact","vapor_stress","heat_stress","APAR","LUE","LUEmax","biomass","NDVI_vals","LAI_vals","SAVI_vals","Lat","Dlength","GPP_pred","Crop","GCVI","blue","green","red","nir","swir1","swir2","sensor"
"1",1,"KR_CRK","2015_01_09","2015-01-09","2015-01-09",-5.2745,118.516416666667,219.570416666667,0.612846458333333,"2015-01-09",9,2015,1,9,0,NA,61.0270385331921,4.915112832,-0.0601157893753797,0,0.412477130515326,0.251722577380193,1,-0.431329750749501,-0.295475887764738,-2.07409972762749,Inf,0,0.0802579241245985,0.0011253005231265,0.0744730516523123,38.2013,9.66058833161919,0,"Rice",0.0291621422960229,0.1547232,0.1465894,0.1625782,0.1917736,0.0522154,0.0447174,"Ls8"
"2",2,"KR_CRK","2015_03_14","2015-03-14","2015-03-14",1.57804166666667,222.733041666667,239.343104166667,0.861614791666666,"2015-03-14",73,2015,3,14,0,NA,39.8454273709249,9.237184704,0.0560092644262314,0.0416400977323122,0.684614671465323,0.272787641689411,1,0.117081053096239,0.517367920640276,1.66538116742987,341.597976159909,0.037442717308295,0.172640624046326,0.0403823334595654,0.109755572527647,38.2013,11.8424447974399,0.0037442717308295,"Rice",0.0155601497348101,0.0965574,0.0890846,0.0996462,0.1425598,0.181147,0.142075,"Ls8"
"3",3,"KR_CRK","2015_03_30","2015-03-30","2015-03-30",10.7803125,241.106875,287.561729166667,0.897967166666667,"2015-03-30",89,2015,3,30,0,NA,63.2681281432189,9.99918432,0.0315142409014702,0.0258733424020468,1.29366713730664,0.818478982177874,1,0.676125502816835,0.315116703478683,2.84963366509517,162.895534673999,0.109737597267304,0.153153731822968,0.0188761651865207,0.102772580683231,38.2013,12.5049381798218,0.0109737597267304,"Rice",0.0296023196161657,0.1170006,0.1104872,0.1234104,0.169931,0.2160694,0.172744,"Ls8"
"4",4,"KR_CRK","2015_05_01","2015-05-01","2015-05-01",20.1273333333333,287.509875,333.1258125,0.960099958333333,"2015-05-01",121,2015,5,1,16,63.4705,68.2093512505245,11.923609536,-0.108104393492904,0.690075235618324,2.35677593237648,1.6075415739025,1,0.978787590229696,-1.28899457713549,-0.744844063244199,-1.10275862647305,0.569517312645912,0.0420808325434336,0.00230458360281773,0.0288899014191702,38.2013,13.7540017905009,0.0569517312645912,"Rice",0.04969077494428,0.1377364,0.1391344,0.1496506,0.1671086,0.061595,0.0423578,"Ls8"
"5",5,"KR_CRK","2015_05_17","2015-05-17","2015-05-17",16.2831875,328.454833333333,297.496166666667,1.03027041666667,"2015-05-17",137,2015,5,17,32,163.372208333333,48.8928983070529,13.621678848,0.0481825673504919,0.998662944876082,1.85143795088642,0.905221674545083,1,0.89275781937804,0.65632745852053,1.56975059216487,1.7606703757112,10.6929383505881,0.166414134725928,0.0383406409318559,0.1087061239779,38.2013,14.2705612417772,1.06929383505881,"Rice",-0.0280690115719729,0.142185,0.1366872,0.1354212,0.1895122,0.085,0.0644742,"Ls8"
"6",6,"KR_CRK","2015_09_22","2015-09-22","2015-09-22",19.4272083333333,242.3321875,341.868291666667,0.25097466875,"2015-09-22",265,2015,9,22,160,1704.05772916667,67.6894637685875,10.05000048,0.221685192222893,0.396217023165601,2.25664596502835,1.52751155288315,1,0.967688820311576,2.22793628824897,0.112648943362403,0.293804381420024,16.0771825146675,0.304443271458149,0.33645734153688,0.227320239543915,38.2013,12.2089484952994,1.60771825146675,"Rice",0.081339000734801,0.103898,0.106295,0.120696,0.226712,0.2233246,0.1498152,"Ls8"
"7",7,"KR_CRK","2015_10_24","2015-10-24","2015-10-24",15.275,165.496520833333,334.864895833333,0.175717222916667,"2015-10-24",297,2015,10,24,192,1871.55847916667,76.2297294541427,6.863471712,-0.0377475972469151,0,1.73577425410592,1.32317601783961,1,0.860722880022666,-0.259079565900171,-0.678236518986505,-Inf,0,0.0980528263747692,0.00127519278554246,0.10014784283936,38.2013,10.9213076198321,0,"Rice",0.0286280277101673,0.2476256,0.240984,0.2584622,0.3161852,0.3102288,0.2584746,"Ls8"
"8",8,"KR_CRK","2015_12_27","2015-12-27","2015-12-27",-6.975375,127.983145833333,187.765604166667,0.320681622916667,"2015-12-27",361,2015,12,27,0,NA,30.1219304477054,5.307717024,0.0193636408718675,0,0.362037607059847,0.109052716193104,1,-0.582865597788483,0.102776726302233,3.12017744147294,-Inf,0,0.14348738335073,0.0132621366588864,0.0822230408340693,38.2013,9.51241949316612,0,"Rice",-0.0529210224481464,0.059839,0.0491566,0.0513632,0.0687578,0.0697586,0.0542272,"Ls8"
"9",9,"KR_CRK","2016_01_12","2016-01-12","2016-01-12",-8.07325,134.6324375,193.688395833333,0.222098895833333,"2016-01-12",12,2016,1,12,0,NA,42.3265902865121,5.583476448,0.0284278073096275,0,0.332463115456287,0.140720300732957,1,-0.683753487232316,0.158725992581588,1.39925976975177,-Inf,0,0.150698335170746,0.0147853559278883,0.0905287145450711,38.2013,9.71656271348327,0,"Rice",-0.0361170932331593,0.0645618,0.054309,0.0586142,0.0797212,0.0933666,0.0762294,"Ls8"
"10",10,"KR_CRK","2016_03_16","2016-03-16","2016-03-16",5.30941666666667,253.896083333333,273.623625,0.110249935416667,"2016-03-16",76,2016,3,16,0,NA,48.2495885482507,10.529578368,0.0202076470272988,0.0273511805839689,0.891332101571253,0.430064071606606,1,0.37033154214564,0.212778003006825,0.518145362108368,51.1546166659711,0.0393828839968774,0.144158828184009,0.0113304845767561,0.0828988813236356,38.2013,11.9668087214251,0.00393828839968774,"Rice",-0.0486502194754646,0.0967802,0.0829918,0.0872606,0.1169276,0.1174298,0.0833694,"Ls8"
"11",11,"KR_CRK","2016_05_19","2016-05-19","2016-05-19",20.846875,350.002708333333,329.03425,1.53915983333333,"2016-05-19",140,2016,5,19,35,181.300979166667,48.745017048958,14.51531232,0.00395233439568896,0.14759619937857,2.46370949079433,1.20093561132449,1,0.987885797528287,0.0573693681465036,26.828948671751,184.001658829095,0.70685038932832,0.131226996337064,0.0127140460326336,0.0741204064805061,38.2013,14.3534228204587,0.070685038932832,"Rice",-0.000509951944104815,0.1086006,0.1083962,0.1086754,0.1423544,0.059015,0.0444246,"Ls8"
"12",12,"KR_CRK","2016_08_07","2016-08-07","2016-08-07",28.225625,268.030583333333,430.170229166667,11.5956454791667,"2016-08-07",220,2016,8,7,115,1211.71591666667,80.4048706598505,11.115764352,0.439565871525109,0.806493095536897,3.82987292453321,3.07940437140756,1,0.910671274681226,4.88611064505461,2.37318520220228,3.23124092062705,104.777006921768,0.477777145206928,1.05614172324538,0.360498305857182,38.2013,13.9356994670631,10.4777006921768,"Rice",-0.134827017084565,0.1576028,0.1446482,0.1262722,0.3273586,0.182488,0.108602,"Ls8"
"13",13,"KR_CRK","2016_09_24","2016-09-24","2016-09-24",18.280625,207.057166666667,347.8598125,1.115970825,"2016-09-24",268,2016,9,24,163,1826.007375,76.3821052667859,8.587074816,0.212744597195387,0.18850378207916,2.10069021380278,1.60455141043591,1,0.944960985577244,1.82685377281657,0.610870361714523,3.42937603070561,7.73975337028503,0.297330626249313,0.313627992421389,0.222220193892717,38.2013,12.0863053221271,0.773975337028503,"Rice",-0.00464518212540824,0.1187422,0.1123928,0.1177864,0.2178698,0.2148306,0.1421864,"Ls8"
"14",14,"KR_CRK","2016_10_10","2016-10-10","2016-10-10",10.3765208333333,223.148979166667,280.370020833333,0.14633375,"2016-10-10",284,2016,10,10,179,1939.93570833333,69.3393145773546,9.254434464,0.192330860841274,0,1.25929094832933,0.873183712106229,1,0.656438850195158,1.77991334706028,0.0822139742036804,Inf,0,0.281090581417084,0.257718382887542,0.187866214886308,38.2013,11.4348676392307,0,"Rice",0.0293997137367928,0.0809628,0.0789126,0.0864896,0.1555936,0.152905,0.1046538,"Ls8"
"15",15,"KR_CRK","2017_01_14","2017-01-14","2017-01-14",-9.44120833333333,146.026833333333,182.704541666667,0.60070665,"2017-01-14",14,2017,1,14,0,NA,36.0492906513143,6.056024832,0.0478303612642735,NA,0.298627289212039,0.107653019452189,1,-0.812761309130331,0.289661855539971,2.07382034779898,NA,NA,0.16613393895328,0.041384179223096,0.108400414809585,38.2013,9.75805873788408,NA,"Rice",-0.00189320002830123,0.0674448,0.0604108,0.0670934,0.0947998,0.112019,0.0895602,"Ls8"
"16",16,"KR_CRK","2017_02_15","2017-02-15","2017-02-15",-0.908270833333333,149.342895833333,248.980145833333,0.163656875,"2017-02-15",46,2017,2,15,0,NA,57.5374398419642,6.193548576,0.0207997209069878,0.0233178688787076,0.571585627937042,0.328875736819588,1,-0.0699587867666377,0.128824081804671,1.2703903859229,-778.764369695688,-0.00207626449858026,0.144629849568009,0.0138736143417191,0.0921362361311912,38.2013,10.757015731151,-0.000207626449858026,"Rice",-0.0402167595166057,0.09113,0.0784378,0.0834674,0.1125048,0.13411,0.1013446,"Ls8"
"17",17,"KR_CRK","2017_03_19","2017-03-19","2017-03-19",7.12927083333333,248.720604166667,261.298875,0.10251905375,"2017-03-19",78,2017,3,19,0,NA,45.1681053622649,10.314940896,0.0465169406387209,0.0324267470244324,1.01078630344472,0.456553022527256,1,0.481123562031131,0.479819493351147,0.213661710644535,13.6951467922653,0.152932509679231,0.165089053809643,0.0303581912606023,0.105750773772597,38.2013,12.049780965415,0.0152932509679231,"Rice",-0.00272337850283762,0.1045404,0.0950828,0.1040196,0.1464358,0.1856908,0.1435854,"Ls8"
"18",18,"KR_CRK","2017_06_23","2017-06-23","2017-06-23",24.391875,311.528625,387.957145833333,12.4695018147917,"2017-06-23",174,2017,6,23,69,530.05475,68.8514216228471,12.919715136,0.496197485598624,0.846160485967508,3.05482701949756,2.10329183104292,1,0.994447982574953,6.41073016513368,1.94509852912077,2.31156863820881,122.832382621765,0.522830139696598,1.12750320643187,0.349976308494806,38.2013,14.8254881429521,12.2832382621765,"Rice",-0.125914319556483,0.1086518,0.100783,0.0827388,0.271702,0.1782182,0.0994626,"Ls8"
"19",19,"KR_CRK","2017_11_14","2017-11-14","2017-11-14",6.33591666666667,154.887875,252.041854166667,0.260760933333333,"2017-11-14",318,2017,11,14,0,NA,47.8753071193846,6.423509952,0.104449019926935,0,0.957080585934981,0.458205269896378,1,0.433891184614784,0.670929318977316,0.388656339733082,Inf,0,0.211176626831293,0.110476853231667,0.143570113778114,38.2013,10.1763415553042,0,"Rice",0.0102737806552726,0.0731874,0.0662872,0.0750376,0.1170468,0.13965,0.101736,"Ls8"
"20",20,"KR_CRK","2017_11_30","2017-11-30","2017-11-30",-3.98710416666667,141.8938125,208.457770833333,0.244868639583333,"2017-11-30",334,2017,11,30,0,NA,25.408326464596,5.884620192,0.0758108698159456,0,0.454701452974902,0.115532029611125,1,-0.320571115994231,0.446118175291997,0.548887387121271,-Inf,0,0.188393691182137,0.068163378930185,0.12014097481966,38.2013,9.74963932864917,0,"Rice",-0.00691582665140894,0.0625554,0.0548764,0.0614834,0.091249,0.1046276,0.077081,"Ls8"
"21",21,"KR_CRK","2017_12_16","2017-12-16","2017-12-16",-6.53916666666667,127.235854166667,206.573479166667,0.09119375,"2017-12-16",350,2017,12,16,0,NA,57.7829186604367,5.276725344,0.0575060736111551,0,0.374421560209588,0.216351705583044,1,-0.543445804529483,0.303443756057912,0.300529334281625,-Inf,0,0.173831403031945,0.0504004416347016,0.119063576757908,38.2013,9.52342611457787,0,"Rice",-0.0169086021851695,0.0703996,0.060699,0.0675218,0.0970512,0.1243328,0.0997288,"Ls8"
"22",22,"KR_CRK","2018_01_01","2018-01-01","2018-01-01",-4.8221875,128.799,208.615625,0.2828014375,"2018-01-01",1,2018,1,1,0,NA,48.9980445276614,5.341552128,0.053754877025187,0,0.426898113433127,0.20917172770771,1,-0.392024362280461,0.287134477764266,0.984909369651445,-Inf,0,0.170847157537937,0.048159974158043,0.120004225149751,38.2013,9.5509796801193,0,"Rice",0.00536189163818059,0.0714042,0.0631976,0.0723074,0.1032904,0.1118202,0.0874562,"Ls8"
"23",23,"KR_CRK","2018_03_22","2018-03-22","2018-03-22",4.099375,257.0361875,255.046791666667,1.13717047916667,"2018-03-22",81,2018,3,22,0,NA,53.5185483953579,10.659804768,0.0594222736820579,0.101665652426837,0.818966978441854,0.438299238699404,1,0.291953006431969,0.633429836321401,1.79525878630963,60.4839098008066,0.371702896722127,0.175355826318264,0.0439498345425818,0.109662314206362,38.2013,12.1742229810449,0.0371702896722127,"Rice",0.0141712240266113,0.0980854,0.0901798,0.1009418,0.1448856,0.1714456,0.129563,"Ls8"
"24",24,"KR_CRK","2018_05_25","2018-05-25","2018-05-25",18.55875,334.0924375,327.387604166667,1.85979270833333,"2018-05-25",145,2018,5,25,40,193.814645833333,64.6722056900186,13.855481568,0.0243893358458578,0.1351428706792,2.13762659367945,1.38245026754891,1,0.950978247600991,0.337925993268045,5.50355031984217,42.8232100028964,0.981120662237517,0.147485549598932,0.0184171553514898,0.0870039767026901,38.2013,14.479292410859,0.0981120662237518,"Rice",-0.0075623723335916,0.1182376,0.116639,0.1167022,0.1580694,0.0710572,0.052495,"Ls8"
"25",25,"KR_CRK","2018_10_16","2018-10-16","2018-10-16",10.548,172.647041666667,297.788270833333,0.15657475,"2018-10-16",289,2018,10,16,184,1858.355375,61.9130929221394,7.160018112,0.144368075330853,0,1.27379019861731,0.788642909303039,1,0.664858371210615,1.03367803416349,0.151473422889081,Inf,0,0.242934029698372,0.163165247924626,0.15878196708858,38.2013,11.2346647013332,0,"Rice",-0.0360538594441726,0.0916092,0.0815222,0.0847166,0.140191,0.151195,0.105543,"Ls8"
"26",26,"KR_CRK","2018_11_01","2018-11-01","2018-11-01",4.63845833333333,179.662520833333,258.011020833333,0.0798638766666667,"2018-11-01",305,2018,11,1,200,1826.43997916667,63.8024932708135,7.450964064,0.126641512379199,0,0.850539647709355,0.542665501495363,1,0.327326434368331,0.943601357748025,0.0846373057975116,Inf,0,0.228831752091646,0.131591122914106,0.140955871790648,38.2013,10.6208190874213,0,"Rice",-0.00897094771831331,0.0696048,0.0620534,0.068093,0.1090446,0.102876,0.068104,"Ls8"
"27",27,"KR_CRK","2015_01_01","2015-01-01","2015-01-01",-9.12668085106383,120.618595744681,194.215340425532,0.618691361702128,"2015-01-01",1,2015,1,1,0,NA,69.6781580906896,5.0022944027234,-0.0517309147732333,NA,0.30612350765231,0.213301221614741,1,-0.782778609047292,-0.258773265417906,-2.39086275277692,NA,NA,0.0869284687563777,0.00100000004749745,0.0753367780055851,38.2013,9.5509796801193,NA,"Rice",-0.0640462700428751,0.124885538046356,0.118911929790283,0.134146516618378,0.152829131736565,0.0630053031343384,0.046600022583313,"Ls7"
"28",28,"KR_CRK","2015_01_17","2015-01-17","2015-01-17",-5.33116666666667,129.3249375,215.455916666667,0.640940416666667,"2015-01-17",17,2015,1,17,0,NA,58.5159075798269,5.363363808,0.0377217474408448,0,0.41070124212035,0.240325559268345,1,-0.436283678345008,0.202315454998743,3.16802498687333,-Inf,0,0.158092082291842,0.0251620416494552,0.104336813762784,38.2013,9.82623192617179,0,"Rice",0.0691792617761041,0.0693110580625,0.0619987675458145,0.0699865140625,0.0931316914065437,0.115764719424576,0.0836947476251526,"Ls7"
